Time (s),GPU Power (W),CPU Power (W),Total Power (W),Average Power (W),GPU Memory Used (GB)
49.425,37.94,32.0977,69,83,0.204102
49.5735,41.48,89.8667,130,83,0.204102
49.7238,41.48,31.7278,72,83,0.204102
49.8825,41.56,35.5999,76,83,0.204102
50.0285,41.54,31.4605,72,83,0.204102
50.167,41.47,59.1911,100,83,0.204102
50.3092,40.3,58.8231,98,83,0.204102
50.6617,37.96,36.6375,73,83,0.204102
50.8236,29.79,185.509,214,83,0.204102
50.9831,29.79,36.4171,65,83,0.204102
51.1231,29.79,60.1183,89,83,0.204102
51.2667,29.79,48.7175,77,83,0.204102
51.4132,29.79,59.4353,88,83,0.204102
51.5539,29.79,52.3308,81,83,0.204102
51.8948,29.79,42.3125,71,83,0.204102
52.0497,12.23,122.775,134,83,0.204102
52.1885,12.23,42.5347,54,83,0.204102
52.3324,12.23,35.133,47,83,0.204102
52.4717,12.23,45.4223,57,83,0.204102
52.6273,12.23,37.1599,49,83,0.204102
52.7595,22.4,46.151,68,83,0.204102
52.9157,22.4,46.4806,68,83,0.204102
53.0886,22.4,56.5392,78,83,0.204102
53.2338,22.4,55.6963,77,83,0.204102
53.3797,22.4,49.627,71,83,0.204102
53.5259,22.4,43.1957,65,83,0.204102
53.6628,22.4,39.1582,61,83,0.204102
53.8176,37.41,37.0849,74,83,0.204102
53.9628,37.41,32.9558,69,82,0.204102
54.2278,37.41,38.8451,75,82,0.204102
54.3738,37.41,96.4078,133,83,0.204102
54.5306,37.41,48.9403,85,83,0.204102
54.6714,37.41,32.3003,69,83,0.204102
54.8137,43.7,33.8494,76,83,0.204102
54.9521,43.7,35.3246,78,83,0.204102
55.0997,43.7,40.4345,83,83,0.204102
55.4362,43.7,34.8839,77,83,0.204102
55.5807,43.7,126.418,169,83,0.204102
55.7369,43.7,44.3004,87,83,0.204102
55.8796,39.22,39.0526,78,83,0.204102
56.0371,39.22,35.0109,74,83,0.204102
56.1843,39.22,33.5259,72,83,0.204102
56.3269,39.22,43.1939,82,83,0.204102
56.7075,39.22,42.6171,81,83,0.204102
56.8649,13.49,143.491,156,83,0.204102
57.0185,16.05,41.5642,57,83,0.204102
57.1615,18.01,34.9901,52,83,0.204102
57.3096,18.79,37.0336,55,83,0.204102
57.4631,20.08,42.7129,62,83,0.204102
57.6087,20.62,39.3261,59,83,0.204102
57.9319,21.53,36.2591,57,82,0.204102
58.0803,29.69,119.471,148,83,0.204102
58.2297,29.69,38.5497,67,83,0.204102
58.3616,29.69,64.2698,93,83,0.204102
58.5016,29.69,43.0236,72,83,0.204102
58.6511,29.69,36.3555,65,83,0.204102
58.7944,29.69,30.6268,59,82,0.204102
58.9429,44.57,36.8035,80,82,0.204102
59.0981,44.57,52.1031,96,83,0.204102
59.2456,44.57,50.28,94,83,0.204102
59.3907,44.57,39.4719,83,83,0.204102
59.5292,44.57,40.2337,84,83,0.204102
59.6722,44.57,33.1597,77,83,0.204102
59.816,44.57,32.1447,76,82,0.204102
59.9628,49,32.9723,81,82,0.204102
60.2265,49,34.9242,83,82,0.204102
60.3582,49,103.573,152,83,0.204102
60.4971,49,61.7955,110,83,0.204102
60.6433,49,50.9667,99,83,0.204102
60.7925,49,34.2406,83,83,0.204102
